year,month,day,hour,PM2.5,CO,O3,TEMP,WSPM,PRES
2013,3,1,0,6.0,800.0,88.0,0.1,4.4,1021.1
2013,3,1,1,6.0,800.0,88.0,-0.3,4.0,1021.5
2013,3,1,2,5.0,700.0,52.0,-0.7,4.6,1021.5
2013,3,1,3,6.0,650.0,62.5,-1.0,2.8,1022.7
2013,3,1,4,5.0,600.0,73.0,-1.3,3.6,1023.0
2013,3,1,5,4.0,700.0,87.0,-1.8,1.2,1023.6
2013,3,1,6,3.0,700.0,92.0,-2.6,1.2,1024.3
2013,3,1,7,5.0,800.0,86.0,-0.9,1.1,1025.6
2013,3,1,8,5.0,900.0,81.0,0.1,3.0,1026.1
2013,3,1,9,4.0,900.0,82.0,1.1,2.8,1026.1
2013,3,1,10,7.0,900.0,82.0,1.9,3.0,1026.1
2013,3,1,11,3.0,800.0,85.0,3.3,3.2,1026.1
2013,3,1,12,9.0,800.0,86.0,4.1,3.2,1025.1
2013,3,1,13,10.0,900.0,86.0,5.3,2.7,1024.1
2013,3,1,14,13.0,800.0,88.0,5.5,2.1,1023.8
2013,3,1,15,13.0,800.0,90.0,6.3,2.7,1023.5
2013,3,1,16,11.0,800.0,90.0,5.9,1.8,1023.6
2013,3,1,17,10.0,800.0,87.0,5.1,1.0,1024.2
2013,3,1,18,11.0,900.0,80.0,3.7,1.6,1025.3
2013,3,1,19,11.0,1000.0,69.0,2.7,1.7,1026.1
2013,3,1,20,13.0,1100.0,61.0,1.6,1.9,1027.1
2013,3,1,21,15.0,1200.0,52.0,1.0,0.7,1028.1
2013,3,1,22,16.0,1200.0,45.0,1.3,1.0,1028.4
2013,3,1,23,16.0,1100.0,44.0,0.2,1.1,1028.6
2013,3,2,0,14.0,1399.0,25.0,-0.3,1.4,1028.9
2013,3,2,1,18.0,1300.0,37.0,-0.7,1.0,1029.2
2013,3,2,2,19.0,1100.0,47.0,-0.8,1.4,1028.8
2013,3,2,3,15.0,1000.0,46.0,-1.2,1.1,1028.6
2013,3,2,4,13.0,1200.0,37.0,-1.3,1.1,1028.7
2013,3,2,5,12.0,1200.0,50.0,-1.3,1.4,1028.0
2013,3,2,6,12.0,1000.0,62.0,-1.6,0.7,1027.5
2013,3,2,7,3.0,1100.0,52.0,-1.3,0.6,1028.0
2013,3,2,8,3.0,1200.0,51.0,-0.6,0.9,1027.7
2013,3,2,9,10.0,1200.0,42.0,0.3,0.7,1027.8
2013,3,2,10,15.0,1300.0,30.0,1.7,1.9,1027.2
2013,3,2,11,20.0,1399.0,31.0,2.5,2.0,1026.4
2013,3,2,12,26.0,1200.0,49.0,3.1,2.2,1025.1
2013,3,2,13,31.0,1100.0,65.0,3.5,1.2,1023.7
2013,3,2,14,32.0,1200.0,62.0,3.7,1.1,1022.9
2013,3,2,15,36.0,1600.0,59.0,3.8,1.2,1022.3
2013,3,2,16,47.0,1600.0,55.0,3.6,1.4,1021.7
2013,3,2,17,59.0,1500.0,51.0,3.2,1.4,1021.6
2013,3,2,18,63.0,1600.0,50.0,2.8,0.6,1021.2
2013,3,2,19,70.0,1899.0,26.0,1.4,0.7,1021.1
2013,3,2,20,86.0,2100.0,6.0,1.4,0.9,1021.1
2013,3,2,21,98.0,2200.0,7.0,0.5,0.6,1020.7
2013,3,2,22,98.0,2500.0,5.0,-0.8,0.6,1020.2
2013,3,2,23,86.0,2600.0,5.0,-1.9,0.0,1019.2
2013,3,3,0,81.0,2500.0,4.0,-2.5,0.5,1018.4
2013,3,3,1,80.0,3000.0,5.0,-2.6,0.2,1017.6
2013,3,3,2,84.0,3799.0,5.0,-3.1,0.8,1016.2
